playername,teamname,position,champion,result,game_length_minutes,offense_dpm_adjusted,offense_kill_participation,offense_damage_per_gold,offense_damage_share,defense_deaths_per_min_adjusted,defense_damage_taken,defense_kda,utility_ward_score_adjusted,utility_assists,utility_assist_ratio,utility_fb_assist,macro_objective_participation_adjusted,macro_turret_plates,macro_vision_score_adjusted,multikill_score
Lwx,FunPlus Phoenix,bot,Lucian,0,18.666666666666668,616.2774850722228,0.5,3.4481403084366495,0.327772,0.31855434476146643,732.1607,0.3333333333333333,0.26838242921436933,2,2.0,,,,0.6989857435394278,
Lwx,FunPlus Phoenix,bot,Jhin,1,31.283333333333335,808.2467488912479,0.8947368421052632,2.3364407569683974,0.284146,0.03168006270048326,410.3463,17.0,0.16008776479453607,11,1.8333333333333333,,,,0.8020670701642113,
Lwx,FunPlus Phoenix,bot,Jhin,0,30.616666666666667,425.32896945765197,0.5,1.8167487684729065,0.295466,0.0,250.9418,2.0,0.16359406752783318,2,2.0,,,,0.9178955520775512,
Lwx,FunPlus Phoenix,bot,Jhin,0,30.116666666666667,418.1202757484912,0.8333333333333334,1.7138541809693808,0.244818,0.0,400.9076,5.0,0.13303914370910133,2,0.6666666666666666,,,,0.799858901531548,
Lwx,FunPlus Phoenix,bot,Lucian,0,31.9,446.23150777802346,0.8333333333333334,1.4411193953630885,0.25518,0.09320294308590452,451.3793,1.6666666666666667,0.8479241809893326,3,1.5,,,,1.3214885553475166,
Lwx,FunPlus Phoenix,bot,Zeri,1,32.083333333333336,889.5330303710331,0.7727272727272727,2.200964755310044,0.300092,0.030890118279899775,537.787,17.0,1.2802012179658178,9,1.125,,,,2.252532747919563,
Lwx,FunPlus Phoenix,bot,Aphelios,0,34.516666666666666,301.16258733369773,0.4444444444444444,1.001652571206377,0.187659,0.08613734093018892,329.4061,1.3333333333333333,0.8997172813640353,4,4.0,,,,1.2504256738963515,
Lwx,FunPlus Phoenix,bot,Xayah,1,26.083333333333332,628.8609961453602,0.7142857142857143,1.7073401239105324,0.344569,0.0,381.6997,10.0,0.6913427189280936,5,1.0,,,,1.0389433416680953,
Lwx,FunPlus Phoenix,bot,Zeri,1,27.166666666666668,778.3199005901636,0.7058823529411765,1.9484056893185833,0.386928,0.03648066115877734,523.0307,12.0,0.6269269287135211,2,0.2,,,,0.8866800773158106,
Lwx,FunPlus Phoenix,bot,Kai'Sa,0,33.416666666666664,367.5310948470201,0.7777777777777778,1.2133957938801954,0.253327,0.11863037942904156,413.207,1.75,0.8694628977795861,5,2.5,,,,0.9911666021613799,
Lwx,FunPlus Phoenix,bot,Xayah,1,31.483333333333334,801.1577040623484,0.7692307692307693,2.052877904589868,0.359962,0.06295762592779998,433.6263,5.0,0.9863730489155208,3,0.42857142857142855,,,,1.1795635350481555,
Lwx,FunPlus Phoenix,bot,Xayah,0,25.6,457.8416863075183,0.75,1.7173688100517368,0.277974,0.15485280648126842,455.0391,0.75,0.8609475911415789,2,2.0,,,,1.058616116759096,
Lwx,FunPlus Phoenix,bot,Veigar,1,29.9,772.9970386843103,0.8333333333333334,2.2126714313308864,0.319472,0.0,463.7458,15.0,0.5026034517986155,6,0.6666666666666666,,,,1.007025267795962,
Lwx,FunPlus Phoenix,bot,Zeri,1,38.46666666666667,601.5034713539659,0.8636363636363636,1.5957002713420998,0.347393,0.02576407178891121,264.6707,19.0,0.8853915301965645,13,2.1666666666666665,,,,1.8004604060324894,
Lwx,FunPlus Phoenix,bot,Veigar,0,37.81666666666667,488.7534688564865,0.4166666666666667,1.9017023043388002,0.286429,0.07862072854403755,523.658,1.6666666666666667,0.794828739599405,4,4.0,,,,1.2474145348518104,
